NodeA,NodeB,flag,Nt,connection_T,Raa,Rab,Rac,Rba,Rbb,Rbc,Rca,Rcb,Rcc,Xaa,Xab,Xac,Xba,Xbb,Xbc,Xca,Xcb,Xcc,Baa,Bab,Bac,Bba,Bbb,Bbc,Bca,Bcb,Bcc,linelength,Config,PdA_dis,QdA_dis,PdB_dis,QdB_dis,PdC_dis,QdC_dis,Load_Model_dis,Int_1_x,Int_1_y,Int_2_x,Int_2_y,Int_3_x,Int_3_y,NodeA_F,NodeB_F,flag_F,NodeA_T,NodeB_T,flag_T,NodeA_C,NodeB_C
13,18,0,0,None,0.07290625,0.0246875,0.024375,0.0246875,0.072109375,0.023984375,0.024375,0.023984375,0.0715,0.16378125,0.0661875,0.078390625,0.0661875,0.166421875,0.060140625,0.078390625,0.060140625,0.1684375,9.35E-07,-1.82E-07,-2.86E-07,-1.82E-07,8.43E-07,-1.09E-07,-2.86E-07,-1.09E-07,8.87E-07,825,Line2,0,0,0,0,0,0,None,,,,,,,,,,,,,90,customer14
13,34,0,0,None,0,0,0,0,0,0,0,0,0.037761364,0,0,0,0,0,0,0,0,0.03828125,0,0,0,0,0,0,0,0,1.28E-07,150,Line11,0,0,0,0,0,0,None,,,,,,,,,,,,,49,customer97
13,switch1,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,switch,0,0,0,0,0,0,None,,,,,,,,,,,,,43,customer123
14,10,0,0,None,0.062935606,0,0,0,0,0,0,0,0,0.063802083,0,0,0,0,0,0,0,0,2.14E-07,0,0,0,0,0,0,0,0,250,Line9,0,0,0,0,0,0,None,,,,,,,,,,,,,80,customer60
14,11,0,0,None,0.062935606,0,0,0,0,0,0,0,0,0.063802083,0,0,0,0,0,0,0,0,2.14E-07,0,0,0,0,0,0,0,0,250,Line9,0,0,0,0,0,0,None,,,,,,,,,,,,,19,customer61
15,16,0,0,None,0,0,0,0,0,0,0,0,0.094403409,0,0,0,0,0,0,0,0,0.095703125,0,0,0,0,0,0,0,0,3.21E-07,375,Line11,0,0,0,0,0,0,None,39.88105948,116.3784494,,,,,,,,,,,49,customer98
15,17,0,0,None,0,0,0,0,0,0,0,0,0.088109848,0,0,0,0,0,0,0,0,0.089322917,0,0,0,0,0,0,0,0,3.00E-07,350,Line11,0,0,0,0,0,0,None,,,,,,,,,,,,,49,customer99
18,19,0,0,None,0.062935606,0,0,0,0,0,0,0,0,0.063802083,0,0,0,0,0,0,0,0,2.14E-07,0,0,0,0,0,0,0,0,250,Line9,0,0,0,0,0,0,None,,,,,,,,,,,,,19,customer62
18,21,0,0,None,0.026511364,0.008977273,0.008863636,0.008977273,0.026221591,0.008721591,0.008863636,0.008721591,0.026,0.059556818,0.024068182,0.028505682,0.024068182,0.060517045,0.021869318,0.028505682,0.021869318,0.06125,3.40E-07,-6.62E-08,-1.04E-07,-6.62E-08,3.07E-07,-3.97E-08,-1.04E-07,-3.97E-08,3.23E-07,300,Line2,0,0,0,0,0,0,None,39.90460356,116.3766777,39.90600276,116.3767036,,,,,,,,,90,customer15
18,switch2,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,switch,0,0,0,0,0,0,None,,,,,,,,,,,,,43,customer125
19,20,0,0,None,0.081816288,0,0,0,0,0,0,0,0,0.082942708,0,0,0,0,0,0,0,0,2.78E-07,0,0,0,0,0,0,0,0,325,Line9,0,0,0,0,0,0,None,39.90382938,116.3751766,,,,,,,,,,,19,customer63
21,22,0,0,None,0,0,0,0,0.132164773,0,0,0,0,0,0,0,0,0.133984375,0,0,0,0,0,0,0,0,4.49E-07,0,0,0,0,525,Line10,0,0,0,0,0,0,None,39.90973354,116.3724521,39.90984207,116.372067,,,,,,,,,19,customer83
21,23,0,0,None,0.022092803,0.007481061,0.007386364,0.007481061,0.021851326,0.007267992,0.007386364,0.007267992,0.021666667,0.049630682,0.020056818,0.023754735,0.020056818,0.050430871,0.018224432,0.023754735,0.018224432,0.051041667,2.83E-07,-5.51E-08,-8.67E-08,-5.51E-08,2.56E-07,-3.31E-08,-8.67E-08,-3.31E-08,2.69E-07,250,Line2,0,0,0,0,0,0,None,39.91289325,116.375333,39.91414321,116.3753049,39.91720337,116.375642,,,,,,,90,customer16
23,24,0,0,None,0,0,0,0,0,0,0,0,0.138458333,0,0,0,0,0,0,0,0,0.140364583,0,0,0,0,0,0,0,0,4.71E-07,550,Line11,0,0,0,0,0,0,None,,,,,,,,,,,,,49,customer100
23,25,0,0,None,0.024302083,0.008229167,0.008125,0.008229167,0.024036458,0.007994792,0.008125,0.007994792,0.023833333,0.05459375,0.0220625,0.026130208,0.0220625,0.055473958,0.020046875,0.026130208,0.020046875,0.056145833,3.12E-07,-6.07E-08,-9.54E-08,-6.07E-08,2.81E-07,-3.64E-08,-9.54E-08,-3.64E-08,2.96E-07,275,Line2,0,0,0,0,0,0,None,,,,,,,,,,,,,90,customer17
25,28,0,0,None,0.017674242,0.005984848,0.005909091,0.005984848,0.017481061,0.005814394,0.005909091,0.005814394,0.017333333,0.039704545,0.016045455,0.019003788,0.016045455,0.040344697,0.014579545,0.019003788,0.014579545,0.040833333,2.27E-07,-4.41E-08,-6.94E-08,-4.41E-08,2.04E-07,-2.64E-08,-6.94E-08,-2.64E-08,2.15E-07,200,Line2,0,0,0,0,0,0,None,,,,,,,,,,,,,90,customer18
25,RG3,2,0,None,0.4,0,0,0,0,0,0,0,0.4,0.4,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,RGAC,0,0,0,0,0,0,None,,,,,,,,,,,,,49,customer120
26,27,0,0,None,0.023833333,0,0.007994792,0,0,0,0.007994792,0,0.024036458,0.056145833,0,0.020046875,0,0,0,0.020046875,0,0.055473958,2.66E-07,0,-5.49E-08,0,0,0,-5.49E-08,0,2.69E-07,275,Line7,0,0,0,0,0,0,None,39.92598152,116.3605526,39.92649081,116.3608409,39.92788154,116.3614268,,,,,,,80,customer56
26,31,0,0,None,0,0,0,0,0,0,0,0,0.056642045,0,0,0,0,0,0,0,0,0.057421875,0,0,0,0,0,0,0,0,1.93E-07,225,Line11,0,0,0,0,0,0,None,,,,,,,,,,,,,49,customer101
27,33,0,0,None,0.125871212,0,0,0,0,0,0,0,0,0.127604167,0,0,0,0,0,0,0,0,4.28E-07,0,0,0,0,0,0,0,0,500,Line9,0,0,0,0,0,0,None,39.93685966,116.3625463,,,,,,,,,,,19,customer64
28,29,0,0,None,0.026511364,0.008977273,0.008863636,0.008977273,0.026221591,0.008721591,0.008863636,0.008721591,0.026,0.059556818,0.024068182,0.028505682,0.024068182,0.060517045,0.021869318,0.028505682,0.021869318,0.06125,3.40E-07,-6.62E-08,-1.04E-07,-6.62E-08,3.07E-07,-3.97E-08,-1.04E-07,-3.97E-08,3.23E-07,300,Line2,0,0,0,0,0,0,None,,,,,,,,,,,,,90,customer19
29,30,0,0,None,0.030929924,0.010473485,0.010340909,0.010473485,0.030591856,0.010175189,0.010340909,0.010175189,0.030333333,0.069482955,0.028079545,0.033256629,0.028079545,0.07060322,0.025514205,0.033256629,0.025514205,0.071458333,3.96E-07,-7.72E-08,-1.21E-07,-7.72E-08,3.58E-07,-4.63E-08,-1.21E-07,-4.63E-08,3.76E-07,350,Line2,0,0,0,0,0,0,None,39.94103292,116.3731922,39.94219895,116.3732829,39.94371287,116.3736316,,,,,,,90,customer20
30,250,0,0,None,0.017674242,0.005984848,0.005909091,0.005984848,0.017481061,0.005814394,0.005909091,0.005814394,0.017333333,0.039704545,0.016045455,0.019003788,0.016045455,0.040344697,0.014579545,0.019003788,0.014579545,0.040833333,2.27E-07,-4.41E-08,-6.94E-08,-4.41E-08,2.04E-07,-2.64E-08,-6.94E-08,-2.64E-08,2.15E-07,200,Line2,0,0,0,0,0,0,None,39.94649284,116.374687,39.9426566,116.3819734,39.94348382,116.3828048,,,,,,,90,customer21
31,32,0,0,None,0,0,0,0,0,0,0,0,0.075522727,0,0,0,0,0,0,0,0,0.0765625,0,0,0,0,0,0,0,0,2.57E-07,300,Line11,0,0,0,0,0,0,None,,,,,,,,,,,,,49,customer102
34,15,0,0,None,0,0,0,0,0,0,0,0,0.025174242,0,0,0,0,0,0,0,0,0.025520833,0,0,0,0,0,0,0,0,8.56E-08,100,Line11,0,0,0,0,0,0,None,,,,,,,,,,,,,49,customer103
35,36,0,0,None,0.056333333,0.01889678,0,0.01889678,0.056813447,0,0,0,0,0.132708333,0.047383523,0,0.047383523,0.131120265,0,0,0,0,6.30E-07,-1.30E-07,0,-1.30E-07,6.37E-07,0,0,0,0,650,Line8,0,0,0,0,0,0,None,,,,,,,,,,,,,80,customer58
35,40,0,0,None,0.021666667,0.007386364,0.007267992,0.007386364,0.022092803,0.007481061,0.007267992,0.007481061,0.021851326,0.051041667,0.023754735,0.018224432,0.023754735,0.049630682,0.020056818,0.018224432,0.020056818,0.050430871,2.69E-07,-8.67E-08,-3.31E-08,-8.67E-08,2.83E-07,-5.51E-08,-3.31E-08,-5.51E-08,2.56E-07,250,Line1,0,0,0,0,0,0,None,,,,,,,97,switch5,3,switch5,197,3,90,customer4
36,37,0,0,None,0.075522727,0,0,0,0,0,0,0,0,0.0765625,0,0,0,0,0,0,0,0,2.57E-07,0,0,0,0,0,0,0,0,300,Line9,0,0,0,0,0,0,None,39.90165615,116.3894004,,,,,,,,,,,19,customer65
36,38,0,0,None,0,0,0,0,0.062935606,0,0,0,0,0,0,0,0,0.063802083,0,0,0,0,0,0,0,0,2.14E-07,0,0,0,0,250,Line10,0,0,0,0,0,0,None,,,,,,,,,,,,,19,customer84
38,39,0,0,None,0,0,0,0,0.081816288,0,0,0,0,0,0,0,0,0.082942708,0,0,0,0,0,0,0,0,2.78E-07,0,0,0,0,325,Line10,0,0,0,0,0,0,None,,,,,,,,,,,,,19,customer85
40,41,0,0,None,0,0,0,0,0,0,0,0,0.081816288,0,0,0,0,0,0,0,0,0.082942708,0,0,0,0,0,0,0,0,2.78E-07,325,Line11,0,0,0,0,0,0,None,,,,,,,,,,,,,49,customer104
40,42,0,0,None,0.021666667,0.007386364,0.007267992,0.007386364,0.022092803,0.007481061,0.007267992,0.007481061,0.021851326,0.051041667,0.023754735,0.018224432,0.023754735,0.049630682,0.020056818,0.018224432,0.020056818,0.050430871,2.69E-07,-8.67E-08,-3.31E-08,-8.67E-08,2.83E-07,-5.51E-08,-3.31E-08,-5.51E-08,2.56E-07,250,Line1,0,0,0,0,0,0,None,,,,,,,RG1,switch6,3,switch6,149,3,90,customer5
42,43,0,0,None,0,0,0,0,0.125871212,0,0,0,0,0,0,0,0,0.127604167,0,0,0,0,0,0,0,0,4.28E-07,0,0,0,0,500,Line10,0,0,0,0,0,0,None,,,,,,,,,,,,,19,customer86
42,44,0,0,None,0.017333333,0.005909091,0.005814394,0.005909091,0.017674242,0.005984848,0.005814394,0.005984848,0.017481061,0.040833333,0.019003788,0.014579545,0.019003788,0.039704545,0.016045455,0.014579545,0.016045455,0.040344697,2.15E-07,-6.94E-08,-2.64E-08,-6.94E-08,2.27E-07,-4.41E-08,-2.64E-08,-4.41E-08,2.04E-07,200,Line1,0,0,0,0,0,0,None,39.93352297,116.3866664,39.934797,116.3889528,39.93541768,116.3890096,61,switch4,3,switch4,XF1,3,90,customer6
44,45,0,0,None,0.050348485,0,0,0,0,0,0,0,0,0.051041667,0,0,0,0,0,0,0,0,1.71E-07,0,0,0,0,0,0,0,0,200,Line9,0,0,0,0,0,0,None,,,,,,,,,,,,,19,customer66
44,47,0,0,None,0.021666667,0.007386364,0.007267992,0.007386364,0.022092803,0.007481061,0.007267992,0.007481061,0.021851326,0.051041667,0.023754735,0.018224432,0.023754735,0.049630682,0.020056818,0.018224432,0.020056818,0.050430871,2.69E-07,-8.67E-08,-3.31E-08,-8.67E-08,2.83E-07,-5.51E-08,-3.31E-08,-5.51E-08,2.56E-07,250,Line1,0,0,0,0,0,0,None,,,,,,,54,switch7,3,switch7,94,3,90,customer7
45,46,0,0,None,0.075522727,0,0,0,0,0,0,0,0,0.0765625,0,0,0,0,0,0,0,0,2.57E-07,0,0,0,0,0,0,0,0,300,Line9,0,0,0,0,0,0,None,,,,,,,,,,,,,19,customer67
47,48,0,0,None,0.013110795,0.004488636,0.004360795,0.004488636,0.013255682,0.004431818,0.004360795,0.004431818,0.013,0.030258523,0.012034091,0.010934659,0.012034091,0.029778409,0.014252841,0.010934659,0.014252841,0.030625,1.53E-07,-3.31E-08,-1.98E-08,-3.31E-08,1.70E-07,-5.20E-08,-1.98E-08,-5.20E-08,1.61E-07,150,Line4,0,0,0,0,0,0,None,,,,,,,,,,,,,80,customer36
47,49,0,0,None,0.021851326,0.007481061,0.007267992,0.007481061,0.022092803,0.007386364,0.007267992,0.007386364,0.021666667,0.050430871,0.020056818,0.018224432,0.020056818,0.049630682,0.023754735,0.018224432,0.023754735,0.051041667,2.56E-07,-5.51E-08,-3.31E-08,-5.51E-08,2.83E-07,-8.67E-08,-3.31E-08,-8.67E-08,2.69E-07,250,Line4,0,0,0,0,0,0,None,,,,,,,,,,,,,80,customer37
49,50,0,0,None,0.021851326,0.007481061,0.007267992,0.007481061,0.022092803,0.007386364,0.007267992,0.007386364,0.021666667,0.050430871,0.020056818,0.018224432,0.020056818,0.049630682,0.023754735,0.018224432,0.023754735,0.051041667,2.56E-07,-5.51E-08,-3.31E-08,-5.51E-08,2.83E-07,-8.67E-08,-3.31E-08,-8.67E-08,2.69E-07,250,Line4,0,0,0,0,0,0,None,,,,,,,,,,,,,80,customer38
50,51,0,0,None,0.021851326,0.007481061,0.007267992,0.007481061,0.022092803,0.007386364,0.007267992,0.007386364,0.021666667,0.050430871,0.020056818,0.018224432,0.020056818,0.049630682,0.023754735,0.018224432,0.023754735,0.051041667,2.56E-07,-5.51E-08,-3.31E-08,-5.51E-08,2.83E-07,-8.67E-08,-3.31E-08,-8.67E-08,2.69E-07,250,Line4,0,0,0,0,0,0,None,,,,,,,,,,,,,80,customer39
51,151,0,0,None,0.043702652,0.014962121,0.014535985,0.014962121,0.044185606,0.014772727,0.014535985,0.014772727,0.043333333,0.100861742,0.040113636,0.036448864,0.040113636,0.099261364,0.04750947,0.036448864,0.04750947,0.102083333,5.11E-07,-1.10E-07,-6.61E-08,-1.10E-07,5.66E-07,-1.73E-07,-6.61E-08,-1.73E-07,5.38E-07,500,Line4,0,0,0,0,0,0,None,,,,,,,,,,,,,80,customer40
52,53,0,0,None,0.017333333,0.005909091,0.005814394,0.005909091,0.017674242,0.005984848,0.005814394,0.005984848,0.017481061,0.040833333,0.019003788,0.014579545,0.019003788,0.039704545,0.016045455,0.014579545,0.016045455,0.040344697,2.15E-07,-6.94E-08,-2.64E-08,-6.94E-08,2.27E-07,-4.41E-08,-2.64E-08,-4.41E-08,2.04E-07,200,Line1,0,0,0,0,0,0,None,,,,,,,300,switch8,3,switch8,151,3,90,customer8
53,54,0,0,None,0.010833333,0.003693182,0.003633996,0.003693182,0.011046402,0.00374053,0.003633996,0.00374053,0.010925663,0.025520833,0.011877367,0.009112216,0.011877367,0.024815341,0.010028409,0.009112216,0.010028409,0.025215436,1.34E-07,-4.34E-08,-1.65E-08,-4.34E-08,1.42E-07,-2.76E-08,-1.65E-08,-2.76E-08,1.28E-07,125,Line1,0,0,0,0,0,0,None,,,,,,,,,,,,,90,customer9
54,55,0,0,None,0.023833333,0.008125,0.007994792,0.008125,0.024302083,0.008229167,0.007994792,0.008229167,0.024036458,0.056145833,0.026130208,0.020046875,0.026130208,0.05459375,0.0220625,0.020046875,0.0220625,0.055473958,2.96E-07,-9.54E-08,-3.64E-08,-9.54E-08,3.12E-07,-6.07E-08,-3.64E-08,-6.07E-08,2.81E-07,275,Line1,0,0,0,0,0,0,None,,,,,,,,,,,,,90,customer10
54,57,0,0,None,0.030591856,0.010175189,0.010473485,0.010175189,0.030333333,0.010340909,0.010473485,0.010340909,0.030929924,0.07060322,0.025514205,0.028079545,0.025514205,0.071458333,0.033256629,0.028079545,0.033256629,0.069482955,3.58E-07,-4.63E-08,-7.72E-08,-4.63E-08,3.76E-07,-1.21E-07,-7.72E-08,-1.23E-07,3.96E-07,350,Line3,0,0,0,0,0,0,None,,,,,,,,,,,,,90,customer22
55,56,0,0,None,0.023833333,0.008125,0.007994792,0.008125,0.024302083,0.008229167,0.007994792,0.008229167,0.024036458,0.056145833,0.026130208,0.020046875,0.026130208,0.05459375,0.0220625,0.020046875,0.0220625,0.055473958,2.96E-07,-9.54E-08,-3.64E-08,-9.54E-08,3.12E-07,-6.07E-08,-3.64E-08,-6.07E-08,2.81E-07,275,Line1,0,0,0,0,0,0,None,,,,,,,,,,,,,90,customer11
57,58,0,0,None,0,0,0,0,0.062935606,0,0,0,0,0,0,0,0,0.063802083,0,0,0,0,0,0,0,0,2.14E-07,0,0,0,0,250,Line10,0,0,0,0,0,0,None,,,,,,,,,,,,,19,customer87
57,60,0,0,None,0.065553977,0.021803977,0.022443182,0.021803977,0.065,0.022159091,0.022443182,0.022159091,0.066278409,0.151292614,0.054673295,0.060170455,0.054673295,0.153125,0.071264205,0.060170455,0.071264205,0.148892045,7.67E-07,-9.92E-08,-1.65E-07,-9.92E-08,8.06E-07,-2.60E-07,-1.65E-07,-2.64E-07,8.50E-07,750,Line3,0,0,0,0,0,0,None,,,,,,,,,,,,,90,customer23
58,59,0,0,None,0,0,0,0,0.062935606,0,0,0,0,0,0,0,0,0.063802083,0,0,0,0,0,0,0,0,2.14E-07,0,0,0,0,250,Line10,0,0,0,0,0,0,None,,,,,,,,,,,,,19,customer88
60,61,0,0,None,0.048604167,0.01625,0.016458333,0.01625,0.047666667,0.015989583,0.016458333,0.015989583,0.048072917,0.1091875,0.052260417,0.044125,0.052260417,0.112291667,0.04009375,0.044125,0.04009375,0.110947917,6.23E-07,-1.91E-07,-1.21E-07,-1.91E-07,5.91E-07,-7.27E-08,-1.21E-07,-7.27E-08,5.62E-07,550,Line5,0,0,0,0,0,0,None,39.89455146,116.4001692,39.8931548,116.399582,,,,,,,,,80,customer42
60,62,0,0,None,0.072012311,0.024611742,0.023314394,0.024611742,0.072580492,0.024611742,0.023314394,0.024611742,0.072012311,0.035610795,0.013139205,0.010213068,0.013139205,0.03438447,0.013139205,0.010213068,0.013139205,0.035610795,3.18E-06,0,0,0,3.18E-06,0,0,0,3.18E-06,250,Line12,0,0,0,0,0,0,None,,,,,,,,,,,,,49,customer114
60,switch3,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,switch,0,0,0,0,0,0,None,,,,,,,,,,,,,43,customer127
61,switch4,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,switch,0,0,0,0,0,0,None,,,,,,,,,,,,,43,customer134
62,63,0,0,None,0.050408617,0.01722822,0.016320076,0.01722822,0.050806345,0.01722822,0.016320076,0.01722822,0.050408617,0.024927557,0.009197443,0.007149148,0.009197443,0.024069129,0.009197443,0.007149148,0.009197443,0.024927557,2.23E-06,0,0,0,2.23E-06,0,0,0,2.23E-06,175,Line12,0,0,0,0,0,0,None,,,,,,,,,,,,,49,customer115
63,64,0,0,None,0.100817235,0.034456439,0.032640152,0.034456439,0.101612689,0.034456439,0.032640152,0.034456439,0.100817235,0.049855114,0.018394886,0.014298295,0.018394886,0.048138258,0.018394886,0.014298295,0.018394886,0.049855114,4.46E-06,0,0,0,4.46E-06,0,0,0,4.46E-06,350,Line12,0,0,0,0,0,0,None,,,,,,,,,,,,,49,customer116
64,65,0,0,None,0.122420928,0.041839962,0.03963447,0.041839962,0.123386837,0.041839962,0.03963447,0.041839962,0.122420928,0.060538352,0.022336648,0.017362216,0.022336648,0.058453598,0.022336648,0.017362216,0.022336648,0.060538352,5.41E-06,0,0,0,5.41E-06,0,0,0,5.41E-06,425,Line12,0,0,0,0,0,0,None,39.93188329,116.3951281,,,,,,,,,,,49,customer117
65,66,0,0,None,0.093616004,0.031995265,0.030308712,0.031995265,0.09435464,0.031995265,0.030308712,0.031995265,0.093616004,0.046294034,0.017080966,0.013276989,0.017080966,0.044699811,0.017080966,0.013276989,0.017080966,0.046294034,4.14E-06,0,0,0,4.14E-06,0,0,0,4.14E-06,325,Line12,0,0,0,0,0,0,None,,,,,,,,,,,,,49,customer118
67,68,0,0,None,0.050348485,0,0,0,0,0,0,0,0,0.051041667,0,0,0,0,0,0,0,0,1.71E-07,0,0,0,0,0,0,0,0,200,Line9,0,0,0,0,0,0,None,,,,,,,,,,,,,19,customer68
67,72,0,0,None,0.024036458,0.007994792,0.008229167,0.007994792,0.023833333,0.008125,0.008229167,0.008125,0.024302083,0.055473958,0.020046875,0.0220625,0.020046875,0.056145833,0.026130208,0.0220625,0.026130208,0.05459375,2.81E-07,-3.64E-08,-6.07E-08,-3.64E-08,2.96E-07,-9.54E-08,-6.07E-08,-9.70E-08,3.12E-07,275,Line3,0,0,0,0,0,0,None,,,,,,,,,,,,,90,customer24
67,97,0,0,None,0.021851326,0.007267992,0.007481061,0.007267992,0.021666667,0.007386364,0.007481061,0.007386364,0.022092803,0.050430871,0.018224432,0.020056818,0.018224432,0.051041667,0.023754735,0.020056818,0.023754735,0.049630682,2.56E-07,-3.31E-08,-5.51E-08,-3.31E-08,2.69E-07,-8.67E-08,-5.51E-08,-8.82E-08,2.83E-07,250,Line3,0,0,0,0,0,0,None,,,,,,,,,,,,,90,customer25
68,69,0,0,None,0.069229167,0,0,0,0,0,0,0,0,0.070182292,0,0,0,0,0,0,0,0,2.35E-07,0,0,0,0,0,0,0,0,275,Line9,0,0,0,0,0,0,None,,,,,,,,,,,,,19,customer69
69,70,0,0,None,0.081816288,0,0,0,0,0,0,0,0,0.082942708,0,0,0,0,0,0,0,0,2.78E-07,0,0,0,0,0,0,0,0,325,Line9,0,0,0,0,0,0,None,,,,,,,,,,,,,19,customer70
70,71,0,0,None,0.069229167,0,0,0,0,0,0,0,0,0.070182292,0,0,0,0,0,0,0,0,2.35E-07,0,0,0,0,0,0,0,0,275,Line9,0,0,0,0,0,0,None,,,,,,,,,,,,,19,customer71
72,73,0,0,None,0,0,0,0,0,0,0,0,0.069229167,0,0,0,0,0,0,0,0,0.070182292,0,0,0,0,0,0,0,0,2.35E-07,275,Line11,0,0,0,0,0,0,None,,,,,,,,,,,,,49,customer105
72,76,0,0,None,0.017481061,0.005814394,0.005984848,0.005814394,0.017333333,0.005909091,0.005984848,0.005909091,0.017674242,0.040344697,0.014579545,0.016045455,0.014579545,0.040833333,0.019003788,0.016045455,0.019003788,0.039704545,2.04E-07,-2.64E-08,-4.41E-08,-2.64E-08,2.15E-07,-6.94E-08,-4.41E-08,-7.05E-08,2.27E-07,200,Line3,0,0,0,0,0,0,None,39.88629253,116.4122673,39.88445681,116.413611,39.88268275,116.4142327,,,,,,,90,customer26
73,74,0,0,None,0,0,0,0,0,0,0,0,0.088109848,0,0,0,0,0,0,0,0,0.089322917,0,0,0,0,0,0,0,0,3.00E-07,350,Line11,0,0,0,0,0,0,None,,,,,,,,,,,,,49,customer106
74,75,0,0,None,0,0,0,0,0,0,0,0,0.10069697,0,0,0,0,0,0,0,0,0.102083333,0,0,0,0,0,0,0,0,3.42E-07,400,Line11,0,0,0,0,0,0,None,,,,,,,,,,,,,49,customer107
76,77,0,0,None,0.035416667,0.011628788,0.011818182,0.011628788,0.034962121,0.011969697,0.011818182,0.011969697,0.035348485,0.081666667,0.029159091,0.038007576,0.029159091,0.080689394,0.032090909,0.038007576,0.032090909,0.079409091,4.30E-07,-5.29E-08,-1.39E-07,-5.29E-08,4.09E-07,-8.82E-08,-1.39E-07,-8.82E-08,4.53E-07,400,Line6,0,0,0,0,0,0,None,,,,,,,,,,,,,80,customer43
