bus_id,flag,IDNO,type,DGvoltage_A,DGvoltage_B,DGvoltage_C,DG_Type,CapA(Var),CapB(Var),CapC(Var),Load Model,BW_reg,PT_reg,CT_reg,vol_reg_A,vol_reg_B,vol_reg_C,control_phase_reg,TapA,TapB,TapC,Vbase,node_phases,pos_x,pos_y,loc_x,loc_y,switch_id,switch_phases,from_bus,to_bus,switch_status,flag_sw,Config,locsw_x,locsw_y,customer_id,loadpoint,PA,QA,PB,QB,PC,QC
33,0,33,1,,,,,,,,Y-I,,,,,,,,0,0,0,2401.8,AN,39.9390896,116.3625813,0,0,,,,,,,,,,customer33,80,0,0,1.3333,0.6667,0,0
34,0,34,1,,,,,,,,Y-Z,,,,,,,,0,0,0,2401.8,CN,39.88497981,116.3783641,0,0,,,,,,,,,,customer34,80,0,0,1.3333,0.6667,0,0
35,0,35,1,,,,,,,,D-PQ,,,,,,,,0,0,0,2401.8,ABCN,39.90601359,116.3857658,0,0,,,,,,,,,,customer35,80,0,0,1.3333,0.6667,0,0
36,0,36,1,,,,,,,,,,,,,,,,0,0,0,2401.8,ABN,39.90601045,116.3892725,0,0,,,,,,,,,,customer36,80,0,0,1.3333,0.6667,0,0
37,0,37,1,,,,,,,,Y-Z,,,,,,,,0,0,0,2401.8,AN,39.90159731,116.386818,0,0,,,,,,,,,,customer37,80,0,0,1.3333,0.6667,0,0
38,0,38,1,,,,,,,,Y-I,,,,,,,,0,0,0,2401.8,BN,39.90616538,116.3930901,0,0,,,,,,,,,,customer38,80,0,0,1.3333,0.6667,0,0
39,0,39,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,BN,39.90640181,116.3968447,0,0,,,,,,,,,,customer39,80,0,0,1.3333,0.6667,0,0
40,0,40,1,,,,,,,,,,,,,,,,0,0,0,2401.8,ABCN,39.92131727,116.3850807,0,0,,,,,,,,,,customer40,80,0,0,1.3333,0.6667,0,0
41,0,41,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,CN,39.92189975,116.3933332,0,0,,,,,,,,,,customer41,80,0,0,1.3333,0.6667,0,0
42,0,42,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,ABCN,39.93166085,116.385844,0,0,,,,,,,,,,customer42,80,0,0,1.3333,0.6667,0,0
43,0,43,1,,,,,,,,Y-Z,,,,,,,,0,0,0,2401.8,BN,39.93183381,116.3939653,0,0,,,,,,,,,,customer43,80,0,0,1.3333,0.6667,0,0
44,0,44,1,,,,,,,,,,,,,,,,0,0,0,2401.8,ABCN,39.93540144,116.3901919,0,0,,,,,,,,,,customer44,80,0,0,1.3333,0.6667,0,0
45,0,45,1,,,,,,,,Y-I,,,,,,,,0,0,0,2401.8,AN,39.93504642,116.3926613,0,0,,,,,,,,,,customer45,80,0,0,1.3333,0.6667,0,0
46,0,46,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,AN,39.9349788,116.3968283,0,0,,,,,,,,,,customer46,80,0,0,1.3333,0.6667,0,0
47,0,47,1,,,,,,,,Y-I,,,,,,,,0,0,0,2401.8,ABCN,39.93953681,116.389712,0,0,,,,,,,,,,customer47,80,0,0,1.3333,0.6667,0,0
48,0,48,1,,,,,,,,Y-Z,,,,,,,,0,0,0,2401.8,ABCN,39.93973157,116.3865188,0,0,,,,,,,,,,customer48,80,0,0,1.3333,0.6667,0,0
49,0,49,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,ABCN,39.93957864,116.3931377,0,0,,,,,,,,,,customer49,80,0,0,1.3333,0.6667,0,0
50,0,50,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,ABCN,39.93957864,116.3949883,0,0,,,,,,,,,,customer50,80,0,0,1.3333,0.6667,0,0
51,0,51,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,ABCN,39.93959994,116.3978993,0,0,,,,,,,,,,customer51,80,0,0,1.3333,0.6667,0,0
52,0,52,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,ABCN,39.88934563,116.3885764,0,0,,,,,,,,,,customer52,80,0,0,1.3333,0.6667,0,0
53,0,53,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,ABCN,39.89017746,116.3914461,0,0,,,,,,,,,,customer53,80,0,0,1.3333,0.6667,0,0
54,0,54,1,,,,,,,,,,,,,,,,0,0,0,2401.8,ABCN,39.89086248,116.3946028,0,0,,,,,,,,,,customer54,80,0,0,1.3333,0.6667,0,0
55,0,55,1,,,,,,,,Y-Z,,,,,,,,0,0,0,2401.8,ABCN,39.89152304,116.3994495,0,0,,,,,,,,,,customer55,80,0,0,1.3333,0.6667,0,0
56,0,56,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,ABCN,39.89176769,116.4043281,0,0,,,,,,,,,,customer56,80,0,0,1.3333,0.6667,0,0
57,0,57,1,,,,,,,,,,,,,,,,0,0,0,2401.8,ABCN,39.89514375,116.3946666,0,0,,,,,,,,,,customer57,80,0,0,1.3333,0.6667,0,0
58,0,58,1,,,,,,,,Y-I,,,,,,,,0,0,0,2401.8,BN,39.89494418,116.3940078,0,0,,,,,,,,,,customer58,80,0,0,1.3333,0.6667,0,0
59,0,59,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,BN,39.89476132,116.3920159,0,0,,,,,,,,,,customer59,80,0,0,1.3333,0.6667,0,0
60,0,60,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,ABCN,39.89607968,116.4002385,0,0,,,,,,,,,,customer60,80,0,0,1.3333,0.6667,0,0
61,0,61,1,,,,,,,,,,,,,,,,0,0,0,2401.8,ABCN,39.8920397,116.3995673,0,0,,,,,,,,,,customer61,19,1.3333,0.6667,0,0,0,0
62,0,62,1,,,,,,,,Y-Z,,,,,,,,0,0,0,2401.8,ABC,39.89809673,116.4003619,0,0,,,,,,,,,,customer62,19,1.3333,0.6667,0,0,0,0
63,0,63,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,ABC,39.92275823,116.3998672,0,0,,,,,,,,,,customer63,19,1.3333,0.6667,0,0,0,0
64,0,64,1,,,,,,,,Y-I,,,,,,,,0,0,0,2401.8,ABC,39.93178079,116.3993091,0,0,,,,,,,,,,customer64,19,1.3333,0.6667,0,0,0,0
65,0,65,1,,,,,,,,D-Z,,,,,,,,0,0,0,2401.8,ABC,39.93096047,116.3951455,0,0,,,,,,,,,,customer65,19,1.3333,0.6667,0,0,0,0
66,0,66,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,ABC,39.92758128,116.3954497,0,0,,,,,,,,,,customer66,19,1.3333,0.6667,0,0,0,0
67,0,67,1,,,,,,,,,,,,,,,,0,0,0,2401.8,ABCN,39.89598834,116.411932,0,0,,,,,,,,,,customer67,19,1.3333,0.6667,0,0,0,0
68,0,68,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,AN,39.89615086,116.4185462,0,0,,,,,,,,,,customer68,19,1.3333,0.6667,0,0,0,0
69,0,69,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,AN,39.89628459,116.4235575,0,0,,,,,,,,,,customer69,19,1.3333,0.6667,0,0,0,0
70,0,70,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,AN,39.89655205,116.4286996,0,0,,,,,,,,,,customer70,19,1.3333,0.6667,0,0,0,0
71,0,71,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,AN,39.89661892,116.4323601,0,0,,,,,,,,,,customer71,19,1.3333,0.6667,0,0,0,0
72,0,72,1,,,,,,,,,,,,,,,,0,0,0,2401.8,ABCN,39.89197983,116.4121441,0,0,,,,,,,,,,customer72,19,1.3333,0.6667,0,0,0,0
73,0,73,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,CN,39.89227476,116.4173185,0,0,,,,,,,,,,customer73,19,1.3333,0.6667,0,0,0,0
74,0,74,1,,,,,,,,Y-Z,,,,,,,,0,0,0,2401.8,CN,39.89256968,116.4245332,0,0,,,,,,,,,,customer74,19,1.3333,0.6667,0,0,0,0
75,0,75,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,CN,39.89263774,116.4290572,0,0,,,,,,,,,,customer75,19,1.3333,0.6667,0,0,0,0
76,0,76,1,,,,,,,,D-I,,,,,,,,0,0,0,2401.8,ABCN,39.88273237,116.4150841,0,0,,,,,,,,,,customer76,19,1.3333,0.6667,0,0,0,0
77,0,77,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,ABCN,39.88307234,116.4246647,0,0,,,,,,,,,,customer77,19,1.3333,0.6667,0,0,0,0
78,0,78,1,,,,,,,,,,,,,,,,0,0,0,2401.8,ABCN,39.88312349,116.4275981,0,0,,,,,,,,,,customer78,19,1.3333,0.6667,0,0,0,0
79,0,79,1,,,,,,,,Y-Z,,,,,,,,0,0,0,2401.8,ABCN,39.88323693,116.4314124,0,0,,,,,,,,,,customer79,19,1.3333,0.6667,0,0,0,0
80,0,80,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,ABCN,39.87999227,116.4277163,0,0,,,,,,,,,,customer80,19,1.3333,0.6667,0,0,0,0
81,0,81,1,,,,,,,,,,,,,,,,0,0,0,2401.8,ABCN,39.87423708,116.4331647,0,0,,,,,,,,,,customer81,19,1.3333,0.6667,0,0,0,0
82,0,82,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,ABCN,39.8710772,116.4330937,0,0,,,,,,,,,,customer82,19,1.3333,0.6667,0,0,0,0
83,0,83,1,,,,,200000,200000,200000,Y-PQ,,,,,,,,0,0,0,2401.8,ABCN,39.87115468,116.4368288,0,0,,,,,,,,,,customer83,19,1.3333,0.6667,0,0,0,0
84,0,84,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,CN,39.87683597,116.4387804,0,0,,,,,,,,,,customer84,19,1.3333,0.6667,0,0,0,0
85,0,85,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,CN,39.88370454,116.4377036,0,0,,,,,,,,,,customer85,19,1.3333,0.6667,0,0,0,0
86,0,86,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,ABCN,39.87218768,116.4155627,0,0,,,,,,,,,,customer86,19,1.3333,0.6667,0,0,0,0
87,0,87,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,ABCN,39.87194604,116.4073903,0,0,,,,,,,,,,customer87,19,1.3333,0.6667,0,0,0,0
88,0,88,1,,,,,50000,,,Y-PQ,,,,,,,,0,0,0,2401.8,AN,39.87774911,116.4071766,0,0,,,,,,,,,,customer88,19,1.3333,0.6667,0,0,0,0
89,0,89,1,,,,,,,,,,,,,,,,0,0,0,2401.8,ABCN,39.87156487,116.3945932,0,0,,,,,,,,,,customer89,19,1.3333,0.6667,0,0,0,0
90,0,90,1,,,,,,50000,,Y-I,,,,,,,,0,0,0,2401.8,BN,39.8849075,116.393045,0,0,,,,,,,,,,customer90,19,1.3333,0.6667,0,0,0,0
91,0,91,1,,,,,,,,,,,,,,,,0,0,0,2401.8,ABCN,39.87109239,116.3864502,0,0,,,,,,,,,,customer91,49,1.166666667,0.833333333,2.333333333,1.666666667,1.166666667,0.666666667
92,0,92,1,,,,,,,50000,Y-PQ,,,,,,,,0,0,0,2401.8,CN,39.87913084,116.3852864,0,0,,,,,,,,,,customer92,49,1.166666667,0.833333333,2.333333333,1.666666667,1.166666667,0.666666667
93,0,93,1,,,,,,,,,,,,,,,,0,0,0,2401.8,ABCN,39.86991036,116.3686168,0,0,,,,,,,,,,customer93,49,1.166666667,0.833333333,2.333333333,1.666666667,1.166666667,0.666666667
94,0,94,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,AN,39.87750238,116.3686853,0,0,,,,,,,,,,customer94,49,1.166666667,0.833333333,2.333333333,1.666666667,1.166666667,0.666666667
95,0,95,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,ABCN,39.86914848,116.3585191,0,0,,,,,,,,,,customer95,49,1.166666667,0.833333333,2.333333333,1.666666667,1.166666667,0.666666667
96,0,96,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,BN,39.87429755,116.3581425,0,0,,,,,,,,,,customer96,49,1.166666667,0.833333333,2.333333333,1.666666667,1.166666667,0.666666667
97,0,97,1,,,,,,,,,,,,,,,,0,0,0,2401.8,ABCN,39.90655459,116.4114527,0,0,,,,,,,,,,customer97,49,1.166666667,0.833333333,2.333333333,1.666666667,1.166666667,0.666666667
98,0,98,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,ABCN,39.90668423,116.4181003,0,0,,,,,,,,,,customer98,49,1.166666667,0.833333333,2.333333333,1.666666667,1.166666667,0.666666667
99,0,99,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,ABCN,39.90677066,116.4224945,0,0,,,,,,,,,,customer99,49,1.166666667,0.833333333,2.333333333,1.666666667,1.166666667,0.666666667
100,0,100,1,,,,,,,,Y-Z,,,,,,,,0,0,0,2401.8,ABCN,39.90677066,116.4285225,0,0,,,,,,,,,,customer100,49,1.166666667,0.833333333,2.333333333,1.666666667,1.166666667,0.666666667
101,0,101,1,,,,,,,,,,,,,,,,0,0,0,2401.8,ABCN,39.92257295,116.4109939,0,0,,,,,,,,,,customer101,49,1.166666667,0.833333333,2.333333333,1.666666667,1.166666667,0.666666667
102,0,102,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,CN,39.92264347,116.4177373,0,0,,,,,,,,,,customer102,49,1.166666667,0.833333333,2.333333333,1.666666667,1.166666667,0.666666667
103,0,103,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,CN,39.92271399,116.4233772,0,0,,,,,,,,,,customer103,49,1.166666667,0.833333333,2.333333333,1.666666667,1.166666667,0.666666667
104,0,104,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,CN,39.92264347,116.4277911,0,0,,,,,,,,,,customer104,49,1.166666667,0.833333333,2.333333333,1.666666667,1.166666667,0.666666667
105,0,105,1,,,,,,,,,,,,,,,,0,0,0,2401.8,ABCN,39.93189429,116.4106133,0,0,,,,,,,,,,customer105,49,1.166666667,0.833333333,2.333333333,1.666666667,1.166666667,0.666666667
106,0,106,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,BN,39.93203532,116.4172034,0,0,,,,,,,,,,customer106,49,1.166666667,0.833333333,2.333333333,1.666666667,1.166666667,0.666666667
107,0,107,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,BN,39.93208232,116.4256632,0,0,,,,,,,,,,customer107,49,1.166666667,0.833333333,2.333333333,1.666666667,1.166666667,0.666666667
108,0,108,1,,,,,,,,,,,,,,,,0,0,0,2401.8,ABCN,39.93926473,116.4103875,0,0,,,,,,,,,,customer108,49,1.166666667,0.833333333,2.333333333,1.666666667,1.166666667,0.666666667
109,0,109,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,AN,39.9475767,116.4100676,0,0,,,,,,,,,,customer109,49,1.166666667,0.833333333,2.333333333,1.666666667,1.166666667,0.666666667
110,0,110,1,,,,,,,,,,,,,,,,0,0,0,2401.8,AN,39.94790371,116.4188475,0,0,,,,,,,,,,customer110,49,1.166666667,0.833333333,2.333333333,1.666666667,1.166666667,0.666666667
111,0,111,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,AN,39.95259065,116.4187053,0,0,,,,,,,,,,customer111,49,1.166666667,0.833333333,2.333333333,1.666666667,1.166666667,0.666666667
112,0,112,1,,,,,,,,Y-I,,,,,,,,0,0,0,2401.8,AN,39.94809446,116.4265609,0,0,,,,,,,,,,customer112,49,1.166666667,0.833333333,2.333333333,1.666666667,1.166666667,0.666666667
113,0,113,1,,,,,,,,Y-Z,,,,,,,,0,0,0,2401.8,AN,39.94842344,116.4337616,0,0,,,,,,,,,,customer113,49,1.166666667,0.833333333,2.333333333,1.666666667,1.166666667,0.666666667
114,0,114,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,AN,39.95247046,116.4434581,0,0,,,,,,,,,,customer114,49,1.166666667,0.833333333,2.333333333,1.666666667,1.166666667,0.666666667
135,0,115,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,ABCN,39.90440167,116.3776601,0,0,,,,,,,,,,customer115,49,1.166666667,0.833333333,2.333333333,1.666666667,1.166666667,0.666666667
149,0,116,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,ABCN,39.88821325,116.3523206,0,0,,,,,,,,,,customer116,49,1.166666667,0.833333333,2.333333333,1.666666667,1.166666667,0.666666667
150,0,117,3,,,,,,,,,,,,,,,,0,0,0,2401.8,ABCN,39.88862172,116.3432173,0,0,,,,,,,,,,customer117,49,1.166666667,0.833333333,2.333333333,1.666666667,1.166666667,0.666666667
151,0,118,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,ABCN,39.93974573,116.401871,0,0,,,,,,,,,,customer118,49,1.166666667,0.833333333,2.333333333,1.666666667,1.166666667,0.666666667
152,0,119,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,ABCN,39.88867363,116.3842776,0,0,,,,,,,,,,customer119,49,1.166666667,0.833333333,2.333333333,1.666666667,1.166666667,0.666666667
160,0,120,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,ABCN,39.89608297,116.4060584,0,0,,,,,,,,,,customer120,49,1.166666667,0.833333333,2.333333333,1.666666667,1.166666667,0.666666667
197,0,121,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,ABCN,39.90715871,116.41149,0,0,,,,,,,,,,customer121,43,0,0,1.333333333,0.666666667,0,0
250,0,122,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,ABCN,39.94332486,116.3858891,0,0,,,,,,,,,,customer122,43,0,0,1.333333333,0.666666667,0,0
300,0,123,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,ABCN,39.93972354,116.4059635,0,0,,,,,,,,,,customer123,43,0,0,1.333333333,0.666666667,0,0
450,0,124,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,2401.8,ABCN,39.90682636,116.4345718,0,0,,,,,,,,,,customer124,43,0,0,1.333333333,0.666666667,0,0
610,1,125,1,,,,,,,,Y-PQ,,,,,,,,0,0,0,277.1281292,ABCN,39.89200776,116.4042448,0,0,,,,,,,,,,customer125,43,0,0,1.333333333,0.666666667,0,0
RG1,2,126,1,,,,,,,,,2,20,700,121,121,121,A,7,7,7,2401.8,ABCN,39.88853738,116.3473077,0,0,,,,,,,,,,customer126,43,0,0,1.333333333,0.666666667,0,0
RG2,2,127,1,,,,,,,,,2,20,50,120,120,120,A,-1,0,0,2401.8,AN,39.89526632,116.3685389,0,0,,,,,,,,,,customer127,43,0,0,1.333333333,0.666666667,0,0
RG3,2,128,1,,,,,,,,,1,20,50,120,120,120,AC,0,0,-1,2401.8,ACN,39.92620532,116.3708006,0,0,,,,,,,,,,customer128,43,0,0,1.333333333,0.666666667,0,0
RG4,2,129,1,,,,,,,,,2,20,300,125,124,125,ABC,8,1,5,2401.8,ABCN,39.89595874,116.4089271,0,0,,,,,,,,,,customer129,43,0,0,1.333333333,0.666666667,0,0
XF1,0,130,1,,,,,,,,,,,,,,,,0,0,0,2401.8,ABCN,39.89202884,116.4003848,0,0,,,,,,,,,,customer130,43,0,0,1.333333333,0.666666667,0,0
switch1,3,131,1,,,,,,,,,,,,,,,,0,0,0,2401.8,ABCN,39.88844133,116.3812742,0,0,,,,,,,,,,customer131,43,0,0,1.333333333,0.666666667,0,0
switch2,3,132,1,,,,,,,,,,,,,,,,0,0,0,2401.8,ABCN,39.90403045,116.377671,0,0,,,,,,,,,,customer132,43,0,0,1.333333333,0.666666667,0,0
switch3,3,133,1,,,,,,,,,,,,,,,,0,0,0,2401.8,ABCN,39.89608133,116.4031485,0,0,,,,,,,,,,customer133,43,0,0,1.333333333,0.666666667,0,0
switch4,3,134,1,,,,,,,,,,,,,,,,0,0,0,2401.8,ABCN,39.89203427,116.3999761,0,0,,,,,,,,,,customer134,43,0,0,1.333333333,0.666666667,0,0
switch5,3,135,1,,,,,,,,,,,,,,,,0,0,0,2401.8,ABCN,39.90685665,116.4114714,0,0,,,,,,,,,,customer135,43,0,0,1.333333333,0.666666667,0,0
switch6,3,136,1,,,,,,,,,,,,,,,,0,0,0,2401.8,ABCN,39.88837532,116.3498142,0,0,,,,,,,,,,customer136,43,0,0,1.333333333,0.666666667,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,customer137,43,0,0,1.333333333,0.666666667,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,customer138,43,0,0,1.333333333,0.666666667,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,customer139,43,0,0,1.333333333,0.666666667,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,customer140,43,0,0,1.333333333,0.666666667,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,customer141,43,0,0,1.333333333,0.666666667,0,0
